alpha_xx,alpha_xz,alpha_zx,alpha_zz,delta_theta
0.6864512354,-1.049366547,1.411124519,-0.6078743064,2.205459424
1.413378685,-0.8042253955,0.3612810035,-0.412239729,1.500269759
-0.900699797,1.546230249,-1.249625272,-1.660753635,2.345913141
-0.6322922458,0.8705565906,1.229726424,1.99497348,12.00910396
-0.814551772,-0.3682321955,-1.452714888,0.2994877185,2.056477084
1.990320149,0.8035240405,0.3808513617,-0.4305236283,1.687752562
1.661195041,-0.01233361548,-1.462532347,-0.5384861472,2.83956678
-1.731333325,-1.192083849,-1.929324876,-0.186880334,7.161540974
0.5381610598,-0.6268301505,-0.318472914,1.836837091,2.623979129
1.007852486,0.1634265478,-0.8618364996,1.587987195,2.304575353
-1.059611532,-0.6986290779,1.636259258,0.1181682211,2.359148094
0.9692717977,0.3629791767,0.613756836,-0.8024668339,1.19787764
-1.034511753,-0.7100306113,-1.378233744,1.497257461,5.288299029
-0.867012267,0.2459575777,1.167897701,1.135296438,2.291263628
-0.2464549657,-0.09497076565,1.978806996,0.6983899079,3.386478715
1.258553772,1.610215877,1.150359345,-1.25928262,2.717329096
0.248682935,-1.592423371,0.6116885063,1.821397713,2.875705214
0.0509282572,-0.2681100285,-1.856628994,1.839098089,8.161767668
-1.587989263,-1.835683627,-1.015733554,-1.737878264,4.464982226
-0.1795286304,0.06435120503,-0.7497202039,-1.79615807,2.793154981
-1.553598527,-0.461982488,-1.757886197,0.7927589024,4.99974157
-1.171917834,-0.7917137249,-0.4234968913,-0.3335614677,1.464009678
-1.993357169,-1.551718516,1.451058255,-1.99506775,1.99404457
0.03266942325,-0.04199197397,-0.667623356,-0.2746919194,1.20737805
1.12232455,1.364814825,-0.9586058263,-0.7100382361,2.152366597
-1.030068588,-0.0805463978,0.7330334306,-1.086988498,1.883638633
-0.6770570318,1.72153847,-1.805722841,-0.156921579,2.151343916
0.8462321664,-1.398183954,-1.81050392,-1.447178513,22.49736416
1.675292774,-1.962960873,-1.246712101,-1.874865948,2.546117153
-1.55748213,0.4805971465,-1.033444365,0.2768482017,1.960271671
0.3607815311,1.397741332,-1.981034428,1.413477837,2.832615398
0.4764763457,-1.349026056,1.091749553,1.421966167,2.303698162
-0.982946065,1.675174724,-0.1821702788,0.4136978173,1.712946191
1.938598134,-0.5538556854,1.252637383,-0.7264035287,2.979526714
1.196854089,0.4029356755,-1.134577219,-0.3438956248,1.884929136
-0.7294574625,-1.687566428,-1.88066092,-0.6140853784,7.782960108
-1.923863409,-1.33804897,0.9007332834,0.8323649427,2.898908923
