a_x,a_y,a_z,a_zz,delta_theta,theta_value,sql,T_H
-4.630292728,-1.272976587,-4.513015277,-3.907177089,0.05495242156,0.6,0.1,10
1.753056287,2.132581963,2.737206828,3.654565481,0.1568692634,0.6,0.1,10
2.394314685,3.008715921,-4.510362902,-2.654648496,0.1599259317,0.6,0.1,10
1.218977734,3.581253046,-4.954998751,0.1462934212,0.2237069968,0.6,0.1,10
1.772873994,-4.703927109,-0.9864444245,3.956348814,0.04174717404,0.6,0.1,10
1.716128089,-2.623416366,3.527811296,-1.519685766,1.09710196,0.6,0.1,10
3.533446711,-2.010563489,0.9032025088,-1.030599323,0.9004278087,0.6,0.1,10
-2.251749492,3.865575622,-3.124063181,-4.151884088,0.2130883665,0.6,0.1,10
-1.580730615,2.176391476,3.07431606,4.987433701,0.07185822035,0.6,0.1,10
-2.03637943,-0.9205804887,-3.63178722,0.7487192962,0.1272374801,0.6,0.1,10
4.975800373,2.008810101,0.9521284041,-1.076309071,0.249424335,0.6,0.1,10
4.152987603,-0.0308340387,-3.656330867,-1.346215368,0.1783085017,0.6,0.1,10
-4.328333312,-2.980209623,-4.82331219,-0.467200835,0.1627260907,0.6,0.1,10
1.34540265,-1.567075376,-0.7961822849,4.592092728,0.07908227071,0.6,0.1,10
2.519631216,0.4085663694,-2.154591249,3.969967988,0.05681178098,0.6,0.1,10
-2.649028831,-1.746572695,4.090648144,0.2954205529,0.1468887506,0.6,0.1,10
2.423179494,0.9074479416,1.53439209,-2.006167085,0.2259980272,0.6,0.1,10
-2.586279384,-1.775076528,-3.445584359,3.743143653,0.03891320418,0.6,0.1,10
-2.167530667,0.6148939441,2.919744251,2.838241094,0.06110756328,0.6,0.1,10
-0.6161374142,-0.2374269141,4.947017489,1.74597477,0.1023112455,0.6,0.1,10
3.146384431,4.025539692,2.875898362,-3.14820655,0.3544483006,0.6,0.1,10
0.6217073374,-3.981058427,1.529221266,4.553494282,0.06836929183,0.6,0.1,10
0.127320643,-0.6702750713,-4.641572486,4.597745223,0.05925446541,0.6,0.1,10
-3.969973159,-4.589209067,-2.539333885,-4.344695661,0.1119780575,0.6,0.1,10
-0.4488215759,0.1608780126,-1.87430051,-4.490395174,0.1242475401,0.6,0.1,10
-3.883996318,-1.15495622,-4.394715492,1.981897256,1.471562048,0.6,0.1,10
-2.929794585,-1.979284312,-1.058742228,-0.8339036693,0.206109093,0.6,0.1,10
-4.983392923,-3.87929629,3.627645637,-4.987669375,0.1723979552,0.6,0.1,10
0.08167355813,-0.1049799349,-1.66905839,-0.6867297985,0.1004048771,0.6,0.1,10
2.805811375,3.412037062,-2.396514566,-1.77509559,0.1258924091,0.6,0.1,10
-2.57517147,-0.2013659945,1.832583577,-2.717471245,0.1356994568,0.6,0.1,10
-1.692642579,4.303846176,-4.514307102,-0.3923039476,0.1415892779,0.6,0.1,10
2.115580416,-3.495459884,-4.5262598,-3.617946284,0.211366233,0.6,0.1,10
4.188231935,-4.907402182,-3.116780252,-4.687164871,0.07244802738,0.6,0.1,10
-3.893705324,1.201492866,-2.583610913,0.6921205043,0.181546894,0.6,0.1,10
0.9019538277,3.494353331,-4.952586071,3.533694593,0.0845019425,0.6,0.1,10
1.191190864,-3.372565139,2.729373881,3.554915418,0.109266378,0.6,0.1,10
